"","convicted","catholic","female","age","educ","foreignborn"
"212",0,1,0,87,12,0
"213",0,0,0,24,16,0
"214",0,0,1,39,12,0
"215",0,0,0,32,14,0
"216",0,0,1,54,16,1
"217",0,0,1,55,14,0
"218",1,0,1,53,16,0
"219",0,0,0,62,14,0
"220",0,1,0,39,6,1
"221",0,1,1,30,12,0
"222",0,0,1,89,8,0
"223",0,1,1,35,12,0
"224",0,1,1,73,16,0
"225",0,0,1,69,16,0
"226",0,0,1,89,12,1
"227",0,0,0,55,16,0
"228",0,1,1,78,12,0
"229",0,0,0,43,17,0
"230",0,0,1,68,16,0
"231",0,0,0,71,16,0
"232",0,0,1,47,16,0
"233",0,1,0,55,16,0
"234",0,0,1,49,12,0
"235",0,0,1,68,14,0
"236",0,0,0,47,11,0
"237",0,0,0,59,14,0
"238",1,0,1,74,16,0
"239",0,0,0,71,14,0
"240",0,1,1,32,12,0
"241",0,0,0,30,16,0
"242",0,0,1,38,16,0
"243",0,0,1,41,16,1
"244",0,0,1,62,20,0
"245",0,0,1,52,16,0
"246",0,1,1,61,13,0
"247",0,0,0,52,16,0
"248",0,1,0,33,14,0
"249",0,0,1,65,16,0
"250",0,0,0,55,12,0
"251",0,0,1,45,14,1
"252",0,1,0,35,9,1
"253",0,0,1,36,14,0
"254",0,0,1,43,16,1
"255",0,0,0,64,14,0
"256",0,0,0,38,18,0
"257",0,0,0,25,14,0
"258",0,0,0,81,18,0
"259",1,0,1,23,12,0
"260",0,1,1,21,12,0
"261",0,1,1,56,12,0
"262",0,0,1,30,11,0
"263",0,0,0,69,12,0
"264",0,1,1,62,12,0
"265",0,1,0,39,16,0
"266",0,0,0,25,18,0
"267",0,0,0,46,18,0
"268",0,0,0,57,6,1
"269",0,0,0,20,13,0
"270",0,0,1,53,16,0
"271",0,0,0,53,16,0
"272",0,0,1,42,8,1
"273",0,0,0,63,18,0
"274",0,0,0,55,20,0
"275",0,0,0,54,17,0
"276",0,0,0,77,20,0
"277",0,0,1,48,16,0
"278",0,0,1,52,4,1
"279",1,0,0,31,13,0
"280",0,0,1,57,12,0
"281",1,0,0,21,12,0
"282",0,0,1,50,15,0
"283",0,0,1,38,16,0
"284",0,0,0,26,14,0
"285",0,0,1,33,14,0
"286",0,0,1,44,17,0
"287",0,0,0,25,16,0
"288",0,0,1,27,16,0
"289",0,1,0,27,16,0
"290",0,0,1,28,16,0
"291",0,1,0,22,16,0
"292",0,1,1,48,17,0
"293",1,1,0,89,8,0
"294",0,1,1,49,17,0
"295",0,1,1,87,12,0
"296",0,0,0,64,17,0
"297",0,1,0,57,9,0
"298",0,1,1,46,16,0
"299",0,0,1,58,16,0
"300",0,0,1,78,16,0
"301",0,1,1,45,19,0
"302",0,1,1,38,14,0
"303",0,0,1,69,20,0
"304",0,1,0,61,16,0
"305",0,0,1,48,16,1
"306",0,1,0,37,16,0
"307",1,0,0,47,12,1
"308",0,0,0,26,18,1
"309",0,1,1,41,13,1
"310",0,0,1,55,18,0
"311",0,0,0,32,17,0
"312",0,0,0,27,14,0
"313",0,0,1,32,13,0
"314",0,0,1,39,18,0
"315",0,1,1,55,16,0
"316",0,0,0,35,16,0
"317",0,0,0,64,17,0
"318",0,0,1,85,15,0
"319",0,1,0,52,12,0
"320",0,1,1,46,12,0
"321",0,0,1,34,5,1
"322",0,1,0,72,12,0
"323",0,0,1,34,16,0
"324",0,1,0,35,10,0
"325",0,0,1,61,12,0
"326",0,1,0,56,12,0
"327",0,0,1,65,16,0
"328",0,0,0,85,9,0
"329",0,1,1,27,14,0
"330",0,1,1,63,14,0
"331",0,0,1,61,15,1
"332",0,0,1,27,20,1
"333",0,0,0,48,16,0
"334",0,0,0,25,16,0
"335",0,0,0,34,13,1
"336",0,0,1,37,16,1
"337",0,0,1,64,14,0
"338",0,0,0,82,18,1
"339",0,0,1,43,16,0
"340",0,1,1,25,18,0
"341",0,0,1,78,17,1
"342",0,0,1,19,12,0
"343",1,0,0,64,11,0
"344",0,0,0,23,13,0
"345",0,0,1,31,16,0
"346",0,0,0,41,15,0
"347",1,0,1,29,12,0
"348",0,0,1,51,19,1
"349",0,0,0,55,18,0
"350",0,0,1,36,15,0
"351",0,1,1,87,13,0
"352",0,0,0,28,17,1
"353",0,0,0,35,17,0
"354",0,0,0,37,18,1
"355",0,1,0,84,12,0
"356",1,0,0,21,13,0
"357",0,1,0,49,17,1
"358",0,0,1,42,12,1
"359",0,0,1,69,14,0
"360",0,1,1,32,16,0
"361",0,0,1,69,20,0
"362",0,0,1,48,16,0
"363",0,1,0,20,10,0
"364",0,0,1,51,19,0
"365",0,1,0,60,20,0
"366",0,0,1,59,16,0
"367",0,1,1,89,16,0
"368",0,1,1,18,12,0
"369",0,0,1,62,20,0
"370",0,0,1,54,13,0
"371",0,0,1,19,12,0
"372",0,0,1,38,10,0
"373",1,0,0,31,14,0
"374",0,0,1,51,18,0
"375",1,0,0,23,11,0
"376",0,0,1,48,16,0
"377",0,0,0,20,12,0
"378",0,0,1,70,15,1
"379",0,0,1,58,16,0
"380",0,0,0,63,16,0
"381",0,0,1,44,12,0
"382",0,0,1,87,14,0
"383",0,0,1,50,16,0
"384",0,0,0,32,14,0
"385",0,0,0,43,20,1
"386",0,1,1,51,16,0
"387",0,0,0,58,20,1
"388",0,0,1,72,14,0
"389",0,0,1,64,14,1
"390",1,0,1,35,12,0
"391",1,0,0,34,15,0
"392",0,0,0,71,11,0
"393",0,1,0,41,17,1
"394",1,0,0,34,13,0
"395",0,0,0,50,13,0
"396",0,0,1,23,12,0
"397",1,0,0,53,12,0
"398",0,0,0,41,20,0
"399",0,0,0,46,14,0
"400",1,0,0,54,16,0
"401",0,0,0,67,19,0
"402",1,0,1,53,16,0
"403",0,0,1,59,12,0
"404",0,0,1,65,12,0
"405",0,1,0,51,14,0
"406",0,1,0,39,14,1
"407",0,1,1,49,12,0
"408",0,0,1,30,16,0
"409",0,0,1,57,19,0
"410",0,0,0,36,18,0
"411",0,1,1,39,18,0
"412",0,0,1,38,18,1
"413",0,0,0,46,16,0
"414",0,0,0,41,18,0
"415",0,0,0,29,18,1
"416",0,0,0,58,12,0
"417",0,0,1,48,17,1
"418",0,0,1,54,14,0
"419",0,0,1,37,9,0
"420",0,0,1,48,18,0
"421",1,0,0,58,12,0
"422",0,0,1,44,14,0
"423",0,0,1,27,16,0
"424",0,1,0,19,11,0
"425",0,0,0,55,13,0
"426",0,0,1,52,12,0
"427",1,0,0,63,13,0
"428",0,0,1,39,14,0
"429",0,0,1,59,12,0
"430",0,0,1,64,15,0
"431",0,1,1,47,18,0
"432",1,1,0,45,12,0
"433",0,0,0,37,12,0
"434",0,0,0,20,11,0
"435",0,0,0,31,20,0
"436",0,0,1,22,13,0
"437",1,1,1,61,16,0
"438",0,0,1,56,15,0
"439",1,0,0,34,8,0
"440",0,1,0,53,12,1
"441",0,1,0,22,12,1
"442",0,1,1,39,12,1
"443",0,1,0,25,6,1
"444",0,1,0,75,17,0
"445",1,0,0,44,18,0
"446",0,0,0,26,14,0
"447",0,1,1,40,13,1
"448",0,1,1,33,10,0
"449",0,1,0,49,12,1
"450",0,0,1,49,12,1
"451",0,0,0,48,20,0
"452",0,0,0,40,17,0
"453",0,0,0,80,14,0
"454",0,0,1,21,12,0
"455",0,0,0,74,12,0
"456",0,0,0,75,16,0
"457",0,0,1,40,14,0
"458",0,0,1,50,16,0
"459",0,0,1,48,8,0
"460",0,1,0,32,9,1
"461",0,0,0,41,8,1
"462",0,0,1,57,12,0
"463",0,0,1,30,12,0
"464",0,0,1,41,12,0
"465",1,0,0,50,9,0
"466",1,0,0,30,15,0
"467",0,0,1,65,7,0
"468",0,0,0,20,14,0
"469",0,0,1,47,18,0
"470",0,0,0,31,16,0
"471",1,0,0,35,12,0
"472",0,1,0,58,12,0
"473",0,0,1,66,14,0
"474",0,0,1,37,12,0
"475",0,0,1,40,15,0
"476",0,0,0,56,13,0
"477",0,0,1,49,12,0
"478",0,0,1,30,14,1
"479",1,0,1,45,18,0
"480",0,0,0,77,13,0
"481",0,0,1,30,11,0
"482",0,0,1,31,13,0
"483",1,0,0,62,12,0
"484",0,0,1,60,12,0
"485",0,0,0,32,11,0
"486",0,0,1,24,10,0
"487",0,0,0,71,14,1
"488",0,0,0,31,15,1
"489",1,0,1,42,14,0
"490",0,0,1,80,10,0
"491",1,0,0,29,10,0
"492",0,0,1,86,10,0
"493",0,0,0,53,12,0
"494",0,1,1,48,12,1
"495",0,0,1,50,6,1
"496",0,0,0,40,14,0
"497",0,0,0,30,12,0
"498",0,1,0,68,6,1
"499",0,0,1,37,17,1
"500",0,0,1,41,11,1
"501",0,1,1,64,15,1
"502",0,1,0,72,13,1
"503",0,0,1,40,19,0
"504",0,0,1,43,16,0
"505",0,0,0,84,17,1
