State,repubshift,female,obama12,romney,mccain,HSGrad,BGrad,Single,Poverty,UnEmpl,divorce,deathrate,over65,density,alcohol,smokers,college,asthma,margin,other,gsp,college,college_group,nonwhite,christian,drinkers,drink_group,smokers,region,south,west,midwest,population,math_scores,math_score_gender_diff,vegetables,physical_activity,obese,injury_death_rate,iq
Massachusetts,1.32,51.65289256,60.67,37.52,36.2,84.8,33.2,20.7,10.3,4.5,2.5,796.1,13.6,809.8,6.1,13.6,36.7,9.6,23.15,1.82,50935,43.2,4,17.2,82,13.6,3,18.1,NE,0,0,0,6407382,291.51,-1.52,28.6,29.7,20.7,37.46,104.3
Michigan,3.69,51.2295082,54.06,44.59,40.9,83.4,21.8,21.8,11.3,7.6,3.8,875.8,12.4,175,4.7,17.2,24.4,8.2,9.47,1.35,37175,29.8,2,21.1,66,7.6,3,22,MW,0,0,1,10104206,277.35,4.18,22.8,28.1,26.2,52.66,100.5
Minnesota,0.96,50.40322581,52.65,44.96,44,87.9,27.4,15.8,6.2,4.9,3.1,743.8,12.3,61.8,5.5,15.2,32.5,7.4,7.69,2.39,45697,34.5,3,9.8,82,4.9,2,20,MW,0,0,1,5096546,290.07,1.49,24.5,28.3,23.7,48.53,103.7
Mississippi,-1.11,52.02913632,43.79,55.29,56.4,72.9,16.9,30,19.8,6.8,4.9,1037.3,12.2,60.6,3.5,18,20.1,7,-11.5,0.92,27829,22.4,1,37.7,47,3.7,1,23.6,S,1,0,0,2900768,262.46,0.61,16.5,20.9,30.9,82.66,94.2
Missouri,4.27,51.46680391,44.3,53.67,49.4,81.3,21.6,21.4,9.4,5.5,4,917.1,13.6,81.2,6,18.4,28.1,9.1,-9.37,2.03,37251,27.1,1,15.7,66,5,2,23.4,MW,0,0,1,5759532,276.45,3.28,22.6,25.3,26.9,65.45,101
Montana,5.6,50.17561465,41.66,55.3,49.7,87.2,24.4,17.1,12.1,3.6,4,846.3,13.5,6.2,5.4,15.7,25.5,8.6,-13.64,3.04,31940,31.2,3,9,75,10.6,3,19.2,W,0,1,0,926920,286.43,-0.92,24.7,33.1,21.3,79.46,103.4
Nebraska,2.8,50.35246727,38.03,59.8,57,86.6,23.7,16.5,6.8,3.2,3.6,814.6,14,22.3,4.6,14.8,24.8,6.9,-21.77,2.17,40185,29.5,2,12.4,84,4.5,2,21.3,MW,0,0,1,1747704,283.96,2.83,20.2,24.7,26,52.08,102.3
Nevada,2.98,49.38271605,52.36,45.68,42.7,80.7,18.2,19.7,6.8,5.8,7.1,919.1,11.7,18.2,6.8,16.4,24.5,7.1,6.68,1.97,46108,27.2,1,37.4,69,18.6,3,23.1,W,0,1,0,2332898,269.91,1.14,22.5,32.6,21.2,73.98,96.5
New Hampshire,1.6,50.45408678,51.98,46.4,44.8,87.4,28.7,15.4,3.7,3.6,4.3,781.4,11.6,137.8,6,16.5,35.4,10.2,5.58,1.62,42033,38.6,4,5.4,66,9.6,3,20.4,NE,0,0,0,1299169,285.25,1.44,29.1,32.9,23.1,45.57,104.2
New Jersey,-1.6,51.65289256,58.25,40.5,42.1,82.1,29.8,18.6,7.3,4.5,3.4,811.2,13.3,1138,4.5,13,34.6,8.6,17.75,1.25,49447,38.3,4,35.2,61,4,1,18,NE,0,0,0,8685166,283.9,3.34,25.9,25.5,22.1,38.16,102.8
New Mexico,0.84,51.09862034,52.99,42.84,42,78.9,23.5,22.6,13.8,3.7,4.4,817.7,11.1,15,4.4,13.2,25.1,9.2,10.15,4.16,35714,30.1,2,48.9,65,4.1,1,21.5,W,0,1,0,1903006,263.28,1.9,21.5,29,21.7,93.89,95.7
New York,-1.53,51.92107996,63.35,35.17,36.7,79.1,27.4,24.3,12.3,4.9,3.4,783.3,13,401.9,4.3,14.2,30.6,8.8,28.18,1.49,49748,36.3,4,39.1,60,4.9,2,20.5,NE,0,0,0,19280727,279.72,0.43,26,27.3,22.2,33.48,100.7
North Carolina,0.89,51.41388175,48.35,50.39,49.5,78.1,22.5,22.4,12.2,5,4.5,907.5,12.7,165.2,3,17.6,23.4,7.5,-2.04,1.26,39921,28.7,2,29.5,38,2.9,1,22.6,S,1,0,0,8540468,281.83,-0.96,22.5,22.2,25.9,67.25,100.2
